name_of_rrh,Antibiotic,I,R,S,I+R+S,%R
Soroti,ampicillin,0,108,0,108,100.0
Soroti,azithromycin,0,33,14,47,70.0
Soroti,cefepime,0,103,0,103,100.0
Soroti,cefotaxime,5,0,0,5,0.0
Soroti,cefoxitin,0,84,19,103,82.0
Soroti,ceftaz,0,14,0,14,100.0
Soroti,ceftriaxone,0,103,14,117,88.0
Soroti,chloramphenicol,0,71,62,133,53.0
Soroti,ciprofloxacin,14,113,29,156,72.0
Soroti,clindamycin,0,5,34,39,13.0
Soroti,doxycycline,0,19,5,24,79.0
Soroti,erythromycin,0,25,14,39,64.0
Soroti,gentamicin,14,118,43,175,67.0
Soroti,imip,0,14,56,70,20.0
Soroti,nitrofurantoin,0,0,19,19,0.0
Soroti,piperacillin,0,28,0,28,100.0
