Other_Complaints,Count
Ibility to pass out stool,1
Wound on posterior neck,1
"Night sweats, weight loss",1
Swollen thigh,1
Right foot discharge,1
Lower limb swelling and abdomil pain,1
Painful ulcer right foot,1
"Abdomil swelling, right and left hypochonolric pain ,loss of appetite proggressive wight loss",1
Painful penis,1
Rigors,1
Severe pain of the knee,1
Burns all over body,1
Abdomil  pain,1
Swelling of the abdomen with a sharp pain,1
Drooling saliva,1
"Severe pain with severe bleeding from degloving wound on the right thigh, Chest pain",1
"Open fracture, Bleeding",1
Bloody urine and loss of appetite,1
Abdomil pain and distention; Breast mass,1
Painful left leg followin RTA,1
Lower limb Fracture,1
"Sever Abdomil pain and swelling, faliure to pass stool",1
"Seizures, LAP",1
unconcious,1
Pus from incision site,1
Chest Pain following RTA,1
LAP,1
"Neck stiffness, Convulsions",1
Leg Ulcer,1
Burns,1
"Pain, Pus discharge from thigh, fractured leg",1
"LAP, PV- Bleeding,",1
"Foul smell, PV discharge",1
"Abdomil pain, usea",1
"Pain in the left hip which radiants to the whole limb, Abdomil swelling",1
Patient came for sequestectomy,1
"Abdomil pain, foul smelling PV discharge, mild PV bleeding",1
body swelling,1
Pus discharge and fowl smell from swollen heal of right foot.,1
Pus discharge at incision site,1
Abdomil Pain,1
Knee pain,1
Open wound discharging pus,1
"Chest pain, reduced appetite and muscle pain",1
"Convulsions,  abnormal bleeding from any site and chest pain",1
Reduced appetite and abdomil pain,1
"Reduced appetite, chills and skin rash",1
Abdomil pain and PV bleeding,1
Mild PV bleeding,1
PV bleeding and back pain,1
"Abdomil pain, pain at incision site and loss of weight",1
PV bleeding and abdomil pain,1
Bilateral lower limb swelling and severe pain,1
"Multiple trauma injuries, Lower limb wound",1
Per-vagil bleeding,1
Incision site pus discharge (post-hernioraphy),1
Incision site pus discharge; per vagil pus discharge,1
Per vagil discharge; Abdomil distention,1
Multiple facial Soft Tissue Injuries,1
Right Iliac Fossa Pain,1
Bleeding from lumbar region following a stab,1
Chest pain; Easy fatiguability; Lower limb swelling,1
Discharge from the ear,1
"Abdomil distension, stool incontinence, ibility to walk, painful left pelvis",1
"Lower limb swelling at ankle,knee and hip joint",1
"wound, pain and swelling on the right leg,",1
Bleeding from multiple trauma injuries,1
"Swollen right neck, mandible and  tongue",1
Labour Pain,1
"Fracture Femur, Multiple brusies and soft tissue injuries.",1
Obstructed labour and Labour Like Pains,1
Stab wound,1
Painful swollen lower limb,1
"Severe LAP, Back pain",1
Septic diabetic foot oozing pus,1
"Loss of appetite, swelling of the left inguil area,",1
Swollen Right lower limb,1
Wound on foot,1
Lower back and Abdomil pain,1
Nose bleeding,1
"Dyspnoea, facial swelling, pain",1
Joint pains,1
Poor appetite,1
Lower limb septic wound,1
labour like pain,1
Abdomil distinction and pain,1
Body and limb pain,1
convulsions,1
stiffening of lower limbs,1
PUS DISCHARGE FROM INCISION SITE,1
PAINFUL SCROTAL AND PENILE SWELLING WITH WOUND,1
Pus discharge from amputation stump.,1
Severe Abdomil Pain,1
"PUS DISCHARGE FROM INCISION SITE, PV DISCHARGE",1
"painful deformed right knee, Bleeding wound following RTA",1
Crying when passing urine,1
Swelling abdomen,1
pus discharge from incision site,1
"Abdomil pain, difficulty in passing sool, abdomil distension.",1
"LAP,PV discharge, Discharge from the incision site",1
ABDOMIL PAIN; PV DISCHARGE,1
DISCHARGE THROUGH INCISION SITE,1
ABDOMIL PAIN AND DISTENTION,1
ABDOMIL PAIN,1
ORAL SORE,1
RIGHT LOWER LIMB SWELLING WITH FOOT WOUND,1
Swollen Painful Toe (Right),1
POST BURN CONTRACTURES & HEALING GRAFT SITE,1
Adomil Pain,1
Foot ulcer (right),1
LEFT BREAST SWELLING WITH PUS DISCHARGE,1
Night sweats,1
Runny nose and joint pain,1
Wounds on foot,1
Milky discharge,1
"Convulsion, blured vision,ibility to talk",1
"foul smelling right painful foot, facial puffiness, Purulent discharge,",1
"Poor appetite, chest pain",1
"Abdomil pain, Photophobia",1
"Painful, swollen right knee.",1
"Night sweets, progressive weight loss, usea, ibility to speak, photophobia and tonic-clonic convulsion",1
"Loss of appetite, Uncoordited speak and diversion of mouth to the lest side",1
left submandibular pus discharging ulcer,1
Bilateral oedema,1
"Pus discharge, abdomil distension",1
Left thigh swelling  and yellowing ofe eyes,1
Abdomil pain and urine retention,1
Smiling wound,1
Severe abdomil pain,1
Smelling wound,1
"Constipation, skin rash and weight loss",1
Joint pain and bloody urine,1
Acute chest cyntoma and vasoclusive in sickcell,1
Failure to pass stool,1
"Sicklooking,severe jaundice and moderate conjunctival pallor",1
Painful left leg,1
"Confusion associated with agressiveness, Poor appetite",1
Bought back for catheter changing,1
"Uncoordited speech, Confusion",1
No appetite,1
Protrusion of intestine through umbilicus,1
Gluteal pain associated with difficulty in walking,1
Convulsion,1
Painfull scrotum,1
"PV bleeding, LAP",1
Difficulty in breathing,1
"Stiff neck, Convulsions, photophobia",1
Open fracture following RTA,1
"Abdomil pain, faliure to pass stool",1
"Swelling on the right posterior axillary area, Discharging wound on the inguil region",1
"Right thigh swelling, ibility to walk",1
"Bleeding, painful left leg due to trauma",1
Post herniorrhapy pain and Scrotal swelling,1
"Septic smelling wound, pus discharge",1
"Abdomil pain, pus discharging from incision ,PV discharge,Lower limb swellingsite",1
Pain and pus discharge from incision site.,1
"Painful left lower  limb, ibility to move, Pus discharge",1
Knee joint pain,1
Wound on the right leg,1
"Paifuln and swelling left leg, Serous fluid discharge",1
"Pus discharge, abdomil pain",1
"Abdomil distention, constipation, swelling of both feet",1
Septic wound on anterior right thigh,1
"Chest pain, wounds on the head and trunk",1
"Reduced appetite, chest pain, convulsions",1
"Reduced appetite, abdomil pain",1
Abnormal bleeding from the mouth,1
"Abdomil pain, reduced appetite",1
"Sore throat,",1
"Reduced appetite, diarrhoea, oral sores",1
"Lower abdomil pain, per vagil bleeding",1
"Swelling around al area, difficulty passing urine",1
Chronic wound ulcer on the right foot,1
Progressively enlarging swelling on the mid back,1
Fowl smelling discharge from the wound and reduced appetite,1
Weight loss,1
"Neck stiffness, oral trush",1
"Sores on the right leg, ibility to feed",1
"Ulcers on gluteal region and pelvis, left lower limb swelling",1
"Lower limb swelling, facial puffiness, polyuria and orthopnea",1
Surgical site pus discharge,1
Right knee swelling,1
"Abdomil pain , and reduced appetite",1
"Chest pain,reduced appetite, muscle pain and sore throat",1
Swollen leg and peeling of outer skin,1
Swelling of the right hand,1
"Chest pain, abdomil pain",1
Swelling of right leg,1
"Skin rash, sal discharge",1
Urine retention,1
"Abdomil pain, abdomil distention",1
Painful left thigh,1
Odematous painful legs,1
Left thigh swelling,1
Painful left elbow,1
"Paralysis of lower limbs, abnormal lower jaw movements,",1
Ear discharge,1
Swelling on the right thigh,1
Right sided chest pain and abdomil pain,1
Right limb wound,1
Burning epigastric pain and urine retention,1
Painful swollen genetalia,1
Constipation and refused complementary feed,1
Skin lesions and refusal of complementary feeds,1
"Abdomil pain, chest pain and loss of appetite",1
Swollen painful right foot,1
Painful knee,1
Painful lower limbs and dehydration,1
Pus discharge from incision site; Chills and rigors,1
