Antibiotic,I,R,S,I+R+S,%R,Pathogen
azithromycin,0,3,1,4,75.0,Citrobacter koseri
azitreo,1,0,0,1,0.0,Citrobacter koseri
cefepime,8,24,21,53,45.28,Citrobacter koseri
cefixime,0,1,0,1,100.0,Citrobacter koseri
cefotaxime,0,8,0,8,100.0,Citrobacter koseri
cefoxitin,0,19,21,40,47.5,Citrobacter koseri
ceftaz,8,25,8,41,60.98,Citrobacter koseri
ceftriaxone,4,71,21,96,73.96,Citrobacter koseri
cefuroxime,0,4,0,4,100.0,Citrobacter koseri
chloramphenicol,4,38,41,83,45.78,Citrobacter koseri
ciprofloxacin,15,76,16,107,71.03,Citrobacter koseri
clindamycin,2,7,8,17,41.18,Citrobacter koseri
doripenem,0,0,1,1,0.0,Citrobacter koseri
doxycycline,1,19,15,35,54.29,Citrobacter koseri
ertapenem,0,0,1,1,0.0,Citrobacter koseri
erythromycin,1,8,0,9,88.89,Citrobacter koseri
gentamicin,17,50,27,94,53.19,Citrobacter koseri
imip,6,24,59,89,26.97,Citrobacter koseri
linezolid,0,0,2,2,0.0,Citrobacter koseri
meropenem,0,0,2,2,0.0,Citrobacter koseri
nalidixic,0,4,0,4,100.0,Citrobacter koseri
nitrofurantoin,0,0,4,4,0.0,Citrobacter koseri
oxacilin,0,2,1,3,66.67,Citrobacter koseri
piperacillin,28,43,21,92,46.74,Citrobacter koseri
tetracycline,4,9,0,13,69.23,Citrobacter koseri
trim,1,73,16,90,81.11,Citrobacter koseri
amikacin,0,1,0,1,100.0,Citrobacter freundii
amoxicillin,0,4,0,4,100.0,Citrobacter freundii
ampicillin,0,5,0,5,100.0,Citrobacter freundii
azithromycin,0,2,0,2,100.0,Citrobacter freundii
cefepime,2,5,5,12,41.67,Citrobacter freundii
cefotaxime,0,1,0,1,100.0,Citrobacter freundii
cefoxitin,0,4,5,9,44.44,Citrobacter freundii
ceftaz,2,6,2,10,60.0,Citrobacter freundii
ceftriaxone,1,13,5,19,68.42,Citrobacter freundii
chloramphenicol,1,7,8,16,43.75,Citrobacter freundii
ciprofloxacin,3,15,2,20,75.0,Citrobacter freundii
clindamycin,0,2,2,4,50.0,Citrobacter freundii
doxycycline,0,4,4,8,50.0,Citrobacter freundii
erythromycin,0,3,0,3,100.0,Citrobacter freundii
gentamicin,4,8,5,17,47.06,Citrobacter freundii
imip,1,5,12,18,27.78,Citrobacter freundii
linezolid,0,0,1,1,0.0,Citrobacter freundii
nalidixic,0,1,0,1,100.0,Citrobacter freundii
nitrofurantoin,0,0,1,1,0.0,Citrobacter freundii
oxacilin,0,1,0,1,100.0,Citrobacter freundii
piperacillin,6,6,4,16,37.5,Citrobacter freundii
tetracycline,1,1,0,2,50.0,Citrobacter freundii
trim,0,15,3,18,83.33,Citrobacter freundii
amikacin,0,1,32,33,3.03,Providencia spp
amoxicillin,8,17,8,33,51.52,Providencia spp
ampicillin,2,30,4,36,83.33,Providencia spp
azithromycin,0,3,1,4,75.0,Providencia spp
azitreo,0,4,4,8,50.0,Providencia spp
cefepime,0,18,8,26,69.23,Providencia spp
cefixime,0,4,0,4,100.0,Providencia spp
cefotaxime,0,3,2,5,60.0,Providencia spp
cefoxitin,0,6,6,12,50.0,Providencia spp
cefoxtaxime,0,2,0,2,100.0,Providencia spp
ceftaz,1,13,7,21,61.9,Providencia spp
ceftriaxone,1,38,10,49,77.55,Providencia spp
cefuroxime,0,2,1,3,66.67,Providencia spp
chloramphenicol,1,17,29,47,36.17,Providencia spp
ciprofloxacin,6,37,21,64,57.81,Providencia spp
clindamycin,2,1,6,9,11.11,Providencia spp
doxycycline,0,3,4,7,42.86,Providencia spp
erythromycin,0,7,1,8,87.5,Providencia spp
gentamicin,7,32,24,63,50.79,Providencia spp
imip,2,5,52,59,8.47,Providencia spp
levofloxacin,4,0,11,15,0.0,Providencia spp
linezolid,0,0,4,4,0.0,Providencia spp
nalidixic,0,0,2,2,0.0,Providencia spp
nitrofurantoin,0,0,5,5,0.0,Providencia spp
oxacilin,0,1,0,1,100.0,Providencia spp
piperacillin,14,26,20,60,43.33,Providencia spp
tetracycline,0,3,8,11,27.27,Providencia spp
trim,1,35,3,39,89.74,Providencia spp
amikacin,0,0,16,16,0.0,Proteus spp
amoxicillin,20,8,16,44,18.18,Proteus spp
ampicillin,8,36,0,44,81.82,Proteus spp
cefepime,0,12,20,32,37.5,Proteus spp
cefotaxime,0,4,0,4,100.0,Proteus spp
ceftaz,4,12,16,32,37.5,Proteus spp
ceftriaxone,0,24,16,40,60.0,Proteus spp
chloramphenicol,0,12,44,56,21.43,Proteus spp
ciprofloxacin,8,36,32,76,47.37,Proteus spp
clindamycin,0,4,8,12,33.33,Proteus spp
doxycycline,0,0,4,4,0.0,Proteus spp
erythromycin,0,8,0,8,100.0,Proteus spp
gentamicin,0,28,36,64,43.75,Proteus spp
imip,4,0,56,60,0.0,Proteus spp
levofloxacin,0,0,4,4,0.0,Proteus spp
linezolid,0,0,8,8,0.0,Proteus spp
oxacilin,0,4,0,4,100.0,Proteus spp
piperacillin,8,8,40,56,14.29,Proteus spp
tetracycline,0,0,4,4,0.0,Proteus spp
trim,4,68,0,72,94.44,Proteus spp
amikacin,0,1,0,1,100.0,Streptococcus pyogenes
amoxicillin,0,3,0,3,100.0,Streptococcus pyogenes
ampicillin,0,5,0,5,100.0,Streptococcus pyogenes
cefepime,2,4,5,11,36.36,Streptococcus pyogenes
cefotaxime,0,1,0,1,100.0,Streptococcus pyogenes
cefoxitin,0,4,5,9,44.44,Streptococcus pyogenes
ceftaz,2,5,2,9,55.56,Streptococcus pyogenes
ceftriaxone,1,12,5,18,66.67,Streptococcus pyogenes
chloramphenicol,1,6,7,14,42.86,Streptococcus pyogenes
ciprofloxacin,3,13,2,18,72.22,Streptococcus pyogenes
clindamycin,0,1,1,2,50.0,Streptococcus pyogenes
doxycycline,0,4,3,7,57.14,Streptococcus pyogenes
erythromycin,0,1,0,1,100.0,Streptococcus pyogenes
gentamicin,4,7,5,16,43.75,Streptococcus pyogenes
imip,1,5,12,18,27.78,Streptococcus pyogenes
nalidixic,0,1,0,1,100.0,Streptococcus pyogenes
nitrofurantoin,0,0,1,1,0.0,Streptococcus pyogenes
piperacillin,6,6,4,16,37.5,Streptococcus pyogenes
tetracycline,1,1,0,2,50.0,Streptococcus pyogenes
trim,0,13,3,16,81.25,Streptococcus pyogenes
amikacin,0,0,1,1,0.0,Acinetobacter baumannii
amoxicillin,0,7,0,7,100.0,Acinetobacter baumannii
ampicillin,0,7,0,7,100.0,Acinetobacter baumannii
azithromycin,0,2,1,3,66.67,Acinetobacter baumannii
cefepime,0,7,0,7,100.0,Acinetobacter baumannii
cefoxitin,0,6,1,7,85.71,Acinetobacter baumannii
ceftaz,0,1,0,1,100.0,Acinetobacter baumannii
ceftriaxone,0,7,1,8,87.5,Acinetobacter baumannii
chloramphenicol,0,4,4,8,50.0,Acinetobacter baumannii
ciprofloxacin,1,7,2,10,70.0,Acinetobacter baumannii
clindamycin,0,0,2,2,0.0,Acinetobacter baumannii
doxycycline,0,1,0,1,100.0,Acinetobacter baumannii
erythromycin,0,1,1,2,50.0,Acinetobacter baumannii
gentamicin,1,7,3,11,63.64,Acinetobacter baumannii
imip,0,1,4,5,20.0,Acinetobacter baumannii
nitrofurantoin,0,0,1,1,0.0,Acinetobacter baumannii
piperacillin,0,2,0,2,100.0,Acinetobacter baumannii
amikacin,4,1,8,13,7.69,Citrobacter freundi
amoxicillin,2,10,0,12,83.33,Citrobacter freundi
ampicillin,2,8,1,11,72.73,Citrobacter freundi
azitreo,0,3,0,3,100.0,Citrobacter freundi
cefixime,0,3,0,3,100.0,Citrobacter freundi
cefotaxime,1,8,2,11,72.73,Citrobacter freundi
cefoxtin,0,1,0,1,100.0,Citrobacter freundi
ceftaz,1,8,1,10,80.0,Citrobacter freundi
ceftazidime,0,0,1,1,0.0,Citrobacter freundi
ceftriaxone,1,10,2,13,76.92,Citrobacter freundi
cefuroxime,0,5,0,5,100.0,Citrobacter freundi
chloramphenicol,0,7,8,15,46.67,Citrobacter freundi
ciprofloxacin,2,13,4,19,68.42,Citrobacter freundi
clindamycin,1,3,2,6,50.0,Citrobacter freundi
doxycycline,0,1,0,1,100.0,Citrobacter freundi
ertapenem,1,1,2,4,25.0,Citrobacter freundi
erythromycin,0,4,2,6,66.67,Citrobacter freundi
fosfomycin,0,0,1,1,0.0,Citrobacter freundi
gentamicin,0,9,5,14,64.29,Citrobacter freundi
imip,1,1,9,11,9.09,Citrobacter freundi
linezolid,0,0,6,6,0.0,Citrobacter freundi
meropenem,3,2,4,9,22.22,Citrobacter freundi
nalidixic,0,5,0,5,100.0,Citrobacter freundi
nitrofurantoin,0,1,1,2,50.0,Citrobacter freundi
oxacilin,1,3,0,4,75.0,Citrobacter freundi
penicillin,0,6,1,7,85.71,Citrobacter freundi
piperacillin,0,6,1,7,85.71,Citrobacter freundi
rifampcin,0,0,1,1,0.0,Citrobacter freundi
streptomycin,0,1,0,1,100.0,Citrobacter freundi
tetracycline,0,4,3,7,57.14,Citrobacter freundi
trim,0,5,0,5,100.0,Citrobacter freundi
vanco,1,0,0,1,0.0,Citrobacter freundi
amikacin,4,1,9,14,7.14,No significant growth
amoxicillin,2,18,0,20,90.0,No significant growth
ampicillin,2,17,1,20,85.0,No significant growth
azithromycin,0,3,1,4,75.0,No significant growth
azitreo,0,3,0,3,100.0,No significant growth
cefepime,0,8,0,8,100.0,No significant growth
cefixime,0,3,0,3,100.0,No significant growth
cefotaxime,2,8,2,12,66.67,No significant growth
cefoxitin,0,6,2,8,75.0,No significant growth
cefoxtin,0,1,0,1,100.0,No significant growth
ceftaz,1,9,1,11,81.82,No significant growth
ceftazidime,0,0,1,1,0.0,No significant growth
ceftriaxone,1,18,3,22,81.82,No significant growth
cefuroxime,0,5,0,5,100.0,No significant growth
chloramphenicol,0,14,13,27,51.85,No significant growth
ciprofloxacin,3,23,6,32,71.88,No significant growth
clindamycin,1,4,5,10,40.0,No significant growth
doxycycline,0,3,1,4,75.0,No significant growth
ertapenem,1,1,2,4,25.0,No significant growth
erythromycin,0,7,3,10,70.0,No significant growth
fosfomycin,0,0,1,1,0.0,No significant growth
gentamicin,1,20,8,29,68.97,No significant growth
imip,1,2,13,16,12.5,No significant growth
linezolid,0,0,6,6,0.0,No significant growth
meropenem,3,2,4,9,22.22,No significant growth
nalidixic,0,5,0,5,100.0,No significant growth
nitrofurantoin,0,1,3,4,25.0,No significant growth
oxacilin,1,3,0,4,75.0,No significant growth
penicillin,0,6,1,7,85.71,No significant growth
piperacillin,0,8,1,9,88.89,No significant growth
rifampcin,0,0,1,1,0.0,No significant growth
streptomycin,0,1,0,1,100.0,No significant growth
tetracycline,0,4,3,7,57.14,No significant growth
trim,0,5,0,5,100.0,No significant growth
vanco,1,0,0,1,0.0,No significant growth
amikacin,0,1,1,2,50.0,Enterobacter cloacae
amoxicillin,2,2,1,5,40.0,Enterobacter cloacae
ampicillin,0,4,0,4,100.0,Enterobacter cloacae
azithromycin,0,3,1,4,75.0,Enterobacter cloacae
cefepime,0,4,1,5,80.0,Enterobacter cloacae
cefotaxime,0,4,0,4,100.0,Enterobacter cloacae
ceftaz,0,1,0,1,100.0,Enterobacter cloacae
ceftriaxone,0,14,1,15,93.33,Enterobacter cloacae
cefuroxime,0,2,0,2,100.0,Enterobacter cloacae
chloramphenicol,0,9,9,18,50.0,Enterobacter cloacae
ciprofloxacin,3,15,8,26,57.69,Enterobacter cloacae
clindamycin,2,1,4,7,14.29,Enterobacter cloacae
doxycycline,0,1,3,4,25.0,Enterobacter cloacae
erythromycin,1,2,0,3,66.67,Enterobacter cloacae
gentamicin,1,12,6,19,63.16,Enterobacter cloacae
imip,0,2,7,9,22.22,Enterobacter cloacae
linezolid,0,0,1,1,0.0,Enterobacter cloacae
oxacilin,0,2,1,3,66.67,Enterobacter cloacae
piperacillin,2,14,2,18,77.78,Enterobacter cloacae
tetracycline,0,3,0,3,100.0,Enterobacter cloacae
trim,1,14,2,17,82.35,Enterobacter cloacae
amikacin,0,1,3,4,25.0,Pseudomos aeruginosa
amoxicillin,3,4,2,9,44.44,Pseudomos aeruginosa
ampicillin,0,5,0,5,100.0,Pseudomos aeruginosa
azithromycin,0,3,1,4,75.0,Pseudomos aeruginosa
azitreo,0,1,4,5,20.0,Pseudomos aeruginosa
cefepime,0,5,2,7,71.43,Pseudomos aeruginosa
cefotaxime,0,5,0,5,100.0,Pseudomos aeruginosa
ceftaz,2,4,3,9,44.44,Pseudomos aeruginosa
ceftriaxone,0,22,2,24,91.67,Pseudomos aeruginosa
cefuroxime,0,2,0,2,100.0,Pseudomos aeruginosa
chloramphenicol,1,11,13,25,44.0,Pseudomos aeruginosa
ciprofloxacin,3,16,12,31,51.61,Pseudomos aeruginosa
clindamycin,2,2,4,8,25.0,Pseudomos aeruginosa
doxycycline,0,1,4,5,20.0,Pseudomos aeruginosa
erythromycin,1,3,1,5,60.0,Pseudomos aeruginosa
gentamicin,1,12,13,26,46.15,Pseudomos aeruginosa
imip,0,2,14,16,12.5,Pseudomos aeruginosa
levofloxacin,1,3,3,7,42.86,Pseudomos aeruginosa
linezolid,0,0,1,1,0.0,Pseudomos aeruginosa
meropenem,0,2,4,6,33.33,Pseudomos aeruginosa
oxacilin,0,3,1,4,75.0,Pseudomos aeruginosa
piperacillin,7,23,12,42,54.76,Pseudomos aeruginosa
tetracycline,0,6,3,9,66.67,Pseudomos aeruginosa
trim,1,19,3,23,82.61,Pseudomos aeruginosa
amikacin,0,1,4,5,20.0,Edwardsiella spp
amoxicillin,2,4,3,9,44.44,Edwardsiella spp
ampicillin,0,6,0,6,100.0,Edwardsiella spp
cefepime,0,3,2,5,60.0,Edwardsiella spp
cefixime,0,1,0,1,100.0,Edwardsiella spp
cefotaxime,0,1,1,2,50.0,Edwardsiella spp
ceftaz,1,3,1,5,60.0,Edwardsiella spp
ceftriaxone,2,6,1,9,66.67,Edwardsiella spp
chloramphenicol,0,2,3,5,40.0,Edwardsiella spp
ciprofloxacin,2,5,2,9,55.56,Edwardsiella spp
clindamycin,0,1,1,2,50.0,Edwardsiella spp
doxycycline,0,0,2,2,0.0,Edwardsiella spp
erythromycin,0,2,0,2,100.0,Edwardsiella spp
gentamicin,0,3,3,6,50.0,Edwardsiella spp
imip,3,1,8,12,8.33,Edwardsiella spp
levofloxacin,1,0,2,3,0.0,Edwardsiella spp
piperacillin,2,2,2,6,33.33,Edwardsiella spp
tetracycline,0,1,0,1,100.0,Edwardsiella spp
trim,0,9,1,10,90.0,Edwardsiella spp
