Antibiotic,I,R,S,I+R+S,%R,Pathogen
ampicillin,2,85,4,91,93.41,Klebsiella spp
azithromycin,0,5,1,6,83.33,Klebsiella spp
azitreo,0,64,48,112,57.14,Klebsiella spp
aztreom,0,9,0,9,100.0,Klebsiella spp
cefepime,15,99,62,176,56.25,Klebsiella spp
cefixime,0,41,0,41,100.0,Klebsiella spp
cefotaxime,0,27,12,39,69.23,Klebsiella spp
cefoxitin,0,18,21,39,46.15,Klebsiella spp
cefoxtaxime,0,11,0,11,100.0,Klebsiella spp
ceftaz,20,175,73,268,65.3,Klebsiella spp
ceftriaxone,6,275,73,354,77.68,Klebsiella spp
cefuroxime,0,11,1,12,91.67,Klebsiella spp
chloramphenicol,17,92,212,321,28.66,Klebsiella spp
ciprofloxacin,76,195,120,391,49.87,Klebsiella spp
clindamycin,2,24,24,50,48.0,Klebsiella spp
doxycycline,9,60,26,95,63.16,Klebsiella spp
ertapenem,0,1,0,1,100.0,Klebsiella spp
erythromycin,0,34,15,49,69.39,Klebsiella spp
gentamicin,21,185,188,394,46.95,Klebsiella spp
imip,46,30,336,412,7.28,Klebsiella spp
levofloxacin,24,84,44,152,55.26,Klebsiella spp
linezolid,0,0,4,4,0.0,Klebsiella spp
meropenem,28,11,121,160,6.88,Klebsiella spp
nalidixic,2,3,3,8,37.5,Klebsiella spp
nitrofurantoin,2,2,13,17,11.76,Klebsiella spp
oxacilin,0,11,19,30,36.67,Klebsiella spp
penicillin,0,2,0,2,100.0,Klebsiella spp
piperacillin,156,283,224,663,42.68,Klebsiella spp
tetracycline,5,91,84,180,50.56,Klebsiella spp
trim,12,267,32,311,85.85,Klebsiella spp
vanco,0,0,2,2,0.0,Klebsiella spp
amikacin,8,2,16,26,7.69,Corynebacterium spp
amoxicillin,4,20,0,24,83.33,Corynebacterium spp
ampicillin,4,16,2,22,72.73,Corynebacterium spp
azitreo,0,6,0,6,100.0,Corynebacterium spp
cefixime,0,6,0,6,100.0,Corynebacterium spp
cefotaxime,2,16,4,22,72.73,Corynebacterium spp
cefoxtin,0,2,0,2,100.0,Corynebacterium spp
ceftaz,2,16,2,20,80.0,Corynebacterium spp
ceftazidime,0,0,2,2,0.0,Corynebacterium spp
ceftriaxone,2,20,4,26,76.92,Corynebacterium spp
cefuroxime,0,10,0,10,100.0,Corynebacterium spp
chloramphenicol,0,14,16,30,46.67,Corynebacterium spp
ciprofloxacin,4,26,8,38,68.42,Corynebacterium spp
clindamycin,2,6,4,12,50.0,Corynebacterium spp
doxycycline,0,2,0,2,100.0,Corynebacterium spp
ertapenem,2,2,4,8,25.0,Corynebacterium spp
erythromycin,0,8,4,12,66.67,Corynebacterium spp
fosfomycin,0,0,2,2,0.0,Corynebacterium spp
gentamicin,0,18,10,28,64.29,Corynebacterium spp
imip,2,2,18,22,9.09,Corynebacterium spp
linezolid,0,0,12,12,0.0,Corynebacterium spp
meropenem,6,4,8,18,22.22,Corynebacterium spp
nalidixic,0,10,0,10,100.0,Corynebacterium spp
nitrofurantoin,0,2,2,4,50.0,Corynebacterium spp
oxacilin,2,6,0,8,75.0,Corynebacterium spp
penicillin,0,12,2,14,85.71,Corynebacterium spp
piperacillin,0,12,2,14,85.71,Corynebacterium spp
rifampcin,0,0,2,2,0.0,Corynebacterium spp
streptomycin,0,2,0,2,100.0,Corynebacterium spp
tetracycline,0,8,6,14,57.14,Corynebacterium spp
trim,0,10,0,10,100.0,Corynebacterium spp
vanco,2,0,0,2,0.0,Corynebacterium spp
amikacin,18,13,44,75,17.33,Acinetobacter spp
amoxicillin,23,92,32,147,62.59,Acinetobacter spp
ampicillin,11,74,3,88,84.09,Acinetobacter spp
azithromycin,0,11,4,15,73.33,Acinetobacter spp
azitreo,0,24,21,45,53.33,Acinetobacter spp
aztreom,0,2,1,3,66.67,Acinetobacter spp
cefepime,3,39,18,60,65.0,Acinetobacter spp
cefixime,0,25,0,25,100.0,Acinetobacter spp
cefotaxime,3,59,13,75,78.67,Acinetobacter spp
cefoxitin,0,9,1,10,90.0,Acinetobacter spp
cefoxtaxime,0,2,1,3,66.67,Acinetobacter spp
cefoxtin,0,3,0,3,100.0,Acinetobacter spp
ceftaz,21,86,25,132,65.15,Acinetobacter spp
ceftazidime,0,0,3,3,0.0,Acinetobacter spp
ceftriaxone,8,160,30,198,80.81,Acinetobacter spp
cefuroxime,0,31,2,33,93.94,Acinetobacter spp
