Model,CV RMSE,Test RMSE,MAE,R2
XGBoost,100.73843065647297,38.88515339760289,15.758272502001594,0.038883150741124584
RandomForest,100.94266988520273,39.14964728882328,16.022395736881926,0.025763794371468363
LightGBM,100.89083697949286,39.18983534425933,15.358997500976486,0.023762613930482734
GradientBoosting,100.71496085966177,39.259677984441815,15.875059920202645,0.020279886714847928
ElasticNet,101.08302529332433,39.46810782901769,15.534469833568856,0.009849593924109112
