Feature,Importance,SE,CI_Lower,CI_Upper
Resistance,0.18315525,1.0233902472180485,-1.8275201428818648,2.193830649940962
ward,0.1699107,1.0224821119858885,-1.838980206629933,2.1788016048881422
age,0.12714364,1.0222396648744936,-1.8812709124646192,2.135558185156346
name_of_rrh,0.11702184,1.0222374560701872,-1.8913883727427097,2.1254320454235645
cormobid_condition,0.087916,1.0222265546418576,-1.9204727889547382,2.0963047923097644
sex,0.08523791,1.0222499400221219,-1.9231968240002075,2.093672649667589
antibiotics_prescribed,0.079151206,1.022216916372652,-1.9292186482772995,2.087521059714334
num_infection_sites,0.07904769,1.022206297366979,-1.929301303162211,2.0873966778656183
referral,0.0714158,1.0222505767334849,-1.9370201909334006,2.079851784685308
